row_id,playerID,year,position,age,avg_salary_year,free_agent_salary,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,ERA,BAOpp,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,won_cy_young,won_mvp,won_gold_glove,won_silver_slugger,all_star
westbja01_2010,westbja01,2010,P,33,3278746.825301205,8250000.0,11.0,13.0,38.0,38.0,2.0,0.0,0.0,236.0,107.0,25.0,75.0,147.0,4.0,9.0,9.0,0.0,999.0,0.0,112.0,5.0,5.0,27.0,3.75,0.257,712.0,19.0,55.0,3.0,4.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
woodke02_2010,woodke02,2010,P,33,3278746.825301205,1500000.0,11.0,11.0,170.0,0.0,0.0,0.0,62.0,137.0,66.0,14.0,75.0,196.0,8.0,11.0,13.0,1.0,718.0,125.0,67.0,5.0,5.0,9.0,3.6249999999999996,0.21900000000000003,502.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
youngch03_2010,youngch03,2010,P,31,3278746.825301205,1100000.0,13.0,12.0,36.0,36.0,1.0,0.0,0.0,164.0,91.0,26.0,99.0,158.0,7.0,5.0,3.0,1.0,852.0,0.0,95.0,9.0,6.0,6.0,3.356666666666667,0.20333333333333334,595.0,18.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
bellhe01_2011,bellhe01,2011,P,34,3318838.249106079,8666666.666666666,15.0,9.0,199.0,0.0,0.0,0.0,132.0,161.0,53.0,8.0,73.0,216.0,6.0,13.0,1.0,0.0,821.0,170.0,58.0,9.0,2.0,17.0,2.36,0.219,607.0,13.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
broxtjo01_2011,broxtjo01,2011,P,27,3318838.249106079,4000000.0,13.0,10.0,151.0,0.0,0.0,0.0,65.0,123.0,58.0,10.0,66.0,197.0,8.0,3.0,3.0,0.0,633.0,116.0,64.0,3.0,4.0,7.0,4.11,0.23933333333333331,453.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
buehrma01_2011,buehrma01,2011,P,32,3318838.249106079,13000000.0,39.0,32.0,97.0,97.0,4.0,1.0,0.0,689.0,273.0,65.0,139.0,313.0,7.0,6.0,8.0,6.0,2629.0,0.0,295.0,23.0,21.0,66.0,3.9033333333333338,0.2823333333333334,1887.0,32.0,127.0,2.0,13.0,0.0,0.0,0.0,0.0,,0,0,1,0,1
campsh01_2011,campsh01,2011,P,36,3318838.249106079,550000.0,12.0,12.0,196.0,0.0,0.0,0.0,4.0,223.0,86.0,18.0,69.0,136.0,18.0,2.0,14.0,0.0,923.0,53.0,98.0,3.0,4.0,33.0,3.5666666666666664,0.26899999999999996,655.0,18.0,31.0,3.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
capuach01_2011,capuach01,2011,P,33,3318838.249106079,4687500.0,15.0,16.0,57.0,40.0,1.0,1.0,0.0,263.0,123.0,36.0,74.0,222.0,6.0,9.0,6.0,0.0,1080.0,5.0,128.0,12.0,3.0,20.0,4.25,0.2645,756.0,9.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
chenbr01_2011,chenbr01,2011,P,34,3318838.249106079,4500000.0,25.0,21.0,75.0,57.0,2.0,1.0,1.0,362.0,170.0,47.0,132.0,240.0,9.0,9.0,14.0,0.0,1541.0,8.0,181.0,11.0,14.0,22.0,4.573333333333333,0.27099999999999996,1073.0,15.0,57.0,2.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
colonba01_2011,colonba01,2011,P,38,3318838.249106079,2000000.0,11.0,16.0,41.0,38.0,1.0,1.0,0.0,241.0,102.0,34.0,61.0,173.0,6.0,1.0,5.0,0.0,970.0,0.0,127.0,6.0,9.0,15.0,4.095000000000001,0.2735,680.0,11.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
